Target	a1	a2	a3	a4	a5
spanner	works	nut	tool	car	screw
sparrow	bird	hawk	fly	nest	robin
speak	talk	say	easy	english	hear
spear	arrow	head	kill	shield	sword
specialize	narrow	subject	expert	in	course
spectacles	glasses	eyes	glass	lenses	blind
spew	sick	vomit	up	guts	spit
spherical	round	ball	balls	sphere	globe
spinning	wheel	top	weaving	jenny	cotton
spiral	staircase	spring	helix	stairs	round
spire	church	steeple	cathedral	tower	point
spoon	fork	knife	fed	silver	wooden
spotless	clean	white	clear	pure	skin
spotted	dog	dick	leopard	cow	saw
spread	butter	out	jam	cheese	bed
spree	spending	shopping	spend	money	fun
squalor	filth	dirt	poverty	slum	mess
squares	circles	triangles	cubes	shapes	oblongs
squaw	indian	woman	wigwam	brave	chief
squeak	mouse	noise	bubble	pip	oil
stags	deer	horns	party	animals	parties
staid	solid	steady	conservative	prim	old
stain	blood	mark	ink	dirt	mess
stair	case	carpet	way	step	climb
staircase	steps	carpet	stairs	up	banister
stalk	flower	bean	stem	hunt	deer
stark	naked	bare	cold	fish	mad
starling	bird	sparrow	thrush	robin	black
stars	sky	stripes	moon	bright	night
start	finish	begin	now	stop	end
started	finished	began	stopped	begun	off
state	country	america	condition	county	government
station	train	railway	master	platform	bus
stationery	paper	envelopes	letter	writing	books
status	quo	symbol	position	class	high
stay	here	go	put	remain	home
stayed	remained	left	home	went	here
stealing	thief	theft	wrong	away	bad
step	up	out	stairs	stone	forward
steward	ship	boat	plane	stewardess	shop
stifle	suffocate	smother	choke	hot	yawn
stifling	hot	heat	air	stuffy	suffocating
sting	bee	wasp	hurt	ray	bees
stink	smell	bomb	skunk	stench	pooh
stitched	sewn	sewed	time	sew	sow
stocking	leg	sock	top	feet	nylon
stole	fur	mink	thief	pinched	steal
stolid	solid	fat	heavy	firm	hard
stoned	drunk	death	pissed	pot	dead
stood	sat	up	stand	still	there
stopping	starting	going	end	halting	braking
storage	space	heater	cupboard	container	room
stories	tales	books	fairy	book	bedtime
strategy	plan	war	battle	plans	army
strawberry	fields	cream	jam	fair	fruit
stream	river	water	brook	cool	flow
street	road	car	lane	lamp	corner
stretch	elastic	pull	tights	yawn	nylon
strict	discipline	hard	severe	stern	school
strings	attached	violin	guitar	apron	puppet
stripe	zebra	stars	star	corporal	sergeant
strips	paper	cartoons	girl	pieces	club
struggle	fight	effort	fierce	life	power
stuck	glue	fast	mud	glued	up
stud	horse	collar	farm	horses	boot
students	university	people	us	work	union
studies	work	books	social	desk	learning
studio	one	artist	television	art	couch
stuff	nonsense	material	fill	it	chicken
stupid	thick	fool	idiot	silly	daft
suck	blow	nipple	thumb	baby	breast
sufferer	pain	agony	jesus	poor	ill
suffering	pain	ill	illness	cats	long
sufficient	enough	plenty	food	adequate	alright
suggestion	idea	box	advice	answer	hint
summer	winter	sun	time	heat	hot
sunrise	sunset	morning	red	set	dawn
super	duper	great	man	fantastic	sonic
supper	food	last	time	dinner	tea
surface	top	tension	flat	smooth	water
survey	look	ordnance	map	land	ordinance
swan	lake	white	bird	duck	neck
swede	turnip	blonde	vegetable	carrot	leather
sweety	pie	sugar	ducky	darling	bag
system	analysis	method	computer	way	go
systematic	orderly	computer	methodical	order	machine
tablets	pills	aspirin	bottle	medicine	pill
tackled	rugby	football	fishing	tried	rugger
tacks	nails	tin	carpet	sharp	pins
tag	label	name	game	rag	price
taken	away	given	in	stolen	off
taker	giver	thief	under	care	loser
talk	speak	chatter	about	back	chat
talked	spoke	about	said	spoken	conversation
tall	short	man	thin	small	tree
talons	eagle	claws	nails	claw	scratch
tan	sun	brown	black	hide	polish
tantrum	temper	anger	fit	rage	child
tarmac	road	adam	macadam	black	airport
tarnish	silver	rust	spoil	gold	stain
tart	jam	prostitute	apple	whore	girl
tarts	jam	prostitutes	apple	prostitute	women
tasty	food	nice	morsel	meal	meat
teach	learn	teacher	in	children	pupil
teaching	school	learning	practice	class	boredom
tears	cry	sadness	crying	sorrow	eyes
tease	strip	tickle	annoy	torment	please
teen	age	ager	twenty	bopper	teenager
teenager	youth	young	sex	adolescent	pop
teeth	dentist	mouth	false	white	gums
telegram	news	letter	message	wire	post
telephone	ring	number	kiosk	bell	exchange
teller	fortune	story	bank	tale	vote
temptations	sin	sins	sex	evil	group
ten	twenty	nine	eleven	thousand	number
tennis	ball	racket	court	balls	game
tension	nerves	headache	strain	stress	taut
terribly	bad	awfully	awful	nice	horrible
terrify	frighten	scare	fear	horror	hurt
terror	fear	fright	horror	reign	hate
tested	tried	exam	proved	tuberculin	checked
testicle	balls	ball	man	sex	male
than	more	rather	that	other	me
thankful	grateful	pleased	glad	be	for
theft	steal	thief	robbery	stolen	burglar
theirs	ours	mine	yours	his	exclusive
thereafter	afterwards	hereafter	then	death	ever
they	them	us	we	are	all
thicker	thinner	water	thin	denser	blood
third	fourth	man	second	first	last
thorn	bush	rose	flesh	prick	pain
thorns	crown	roses	prick	bush	prickles
those	these	people	them	who	others
though	but	although	even	not	all
thought	mind	idea	think	brain	work
thoughtlessly	carelessly	careless	selfish	stupid	unkind
throb	heart	beat	pain	pulse	ache
thrush	bird	song	blackbird	brush	eggs
thrust	push	forward	parry	force	sword
thug	bully	tough	glasgow	brute	mug
thunder	lightning	lightening	clap	cloud	storm
ties	knots	shirts	collars	shirt	collar
tiger	lion	bay	cat	petrol	stripes
tight	loose	rope	squeeze	drunk	fit
tigress	tiger	lion	stripes	lulu	jungle
timber	wood	tree	yard	fall	forest
times	paper	newspaper	sunday	changing	magazine
timid	shy	mouse	frightened	fear	scared
tinsel	christmas	tree	glitter	silver	paper
tiredness	sleep	fatigue	bed	weary	sleepy
tiring	work	tired	boring	exhausted	exhausting
tissue	paper	cold	kleenex	culture	handkerchief
toad	frog	hole	stool	hall	ugly
today	tomorrow	yesterday	now	friday	thursday
toddle	child	baby	walk	off	kid
toenail	foot	cut	toe	long	scissors
tomb	grave	death	stone	dead	egypt
ton	weight	heavy	up	coal	pound
tongues	talk	mouth	languages	mouths	ox
tonsure	monk	tonsils	hair	tonsil	bald
toothbrush	teeth	toothpaste	paste	clean	bristles
topic	subject	conversation	chocolate	news	bar
tore	tear	ripped	rip	dress	clothes
torment	torture	tease	annoy	anguish	pain
torn	ripped	rip	paper	split	tear
torrent	water	rain	flood	rush	stream
total	sum	all	petrol	whole	amount
tower	london	bridge	babel	blackpool	block
tract	land	path	religious	tractor	duct
trams	buses	cars	trains	lines	rails
trance	dream	sleep	seance	daze	hypnosis
tranquil	quiet	calm	peaceful	peace	sea
transition	change	period	stage	element	movement
transmit	radio	send	message	wireless	receive
transplants	heart	hearts	organs	kidney	bad
transport	bus	car	cafe	bill	lorry
tray	tea	ash	cup	carry	cups
treatment	doctor	cure	hospital	illness	heat
tree	branch	leaf	wood	oak	root
trial	jury	error	judge	court	test
trickle	water	stream	drip	blood	run
trigger	gun	happy	finger	off	pull
trinity	college	three	church	holy	god
triplet	three	twin	baby	twins	babies
triumph	herald	car	victory	bike	glory
trivial	small	unimportant	important	petty	little
trotted	horse	ran	cantered	pig	out
troubled	worried	waters	mind	worry	bothered
trouser	leg	suit	legs	pants	man
true	false	lie	untrue	honest	love
trunk	elephant	tree	case	body	call
truth	lie	lies	false	honesty	drug
tulip	flower	bulb	holland	daffodil	black
tune	song	music	melody	piano	sing
tweezers	eyebrows	hair	eyebrow	forceps	pincers
type	writer	cast	kind	print	set
ugly	beautiful	pretty	duckling	nice	face
umbilical	cord	chord	baby	birth	attached
umpire	cricket	referee	tennis	match	game
unclean	dirty	leper	dirt	clean	filth
unconscious	dead	out	asleep	mind	sleep
underlay	carpet	felt	overlay	beneath	road
understood	comprehend	know	comprehended	knew	misunderstood
undress	bed	clothes	strip	naked	sex
uneasy	feeling	nervous	restless	worried	hard
unequal	equal	different	unfair	opposite	uneven
unexpected	surprise	sudden	event	shock	unforeseen
unholy	church	god	heathen	atheist	mess
unicorn	horn	lion	horse	bachelors	animal
unimportant	trivial	important	irrelevant	insignificant	rubbish
unite	join	together	one	nations	divide
universal	world	all	soldier	everywhere	overall
universe	world	stars	big	god	star
university	college	life	edinburgh	student	glasgow
unkind	cruel	nasty	bad	kind	mean
unlucky	lucky	unfortunate	me	sad	bad
unmarried	mother	single	married	great	spinster
unpleasant	nasty	bad	nice	feeling	horrible
unrest	disquiet	disturbance	restless	student	uneasy
unsuitable	useless	wrong	match	bad	me
unwell	ill	sick	bed	poorly	bad
urgent	message	quick	hurry	now	important
use	up	abuse	misuse	do	it
useful	handy	useless	good	tool	helpful
usually	often	always	normally	sometimes	unusually
vacant	empty	lot	engaged	possession	blank
vacations	holidays	holiday	work	summer	home
vaccinations	needle	jabs	smallpox	injections	jab
valiant	brave	knight	bold	strong	hero
valid	true	invalid	passport	right	ticket
valve	heart	radio	stop	car	diode
vanish	disappear	go	cream	ghost	gone
vanity	fair	mirror	pride	proud	vain
variables	constants	statistics	functions	x	change
vase	flowers	flower	jug	glass	ming
vegetable	cabbage	carrot	potato	marrow	matter
vegetarian	meat	food	carrots	cabbage	lettuce
vegetation	green	growth	grass	cabbage	trees
verse	poem	poetry	prose	rhyme	song
vest	pants	string	shirt	holes	underwear
vicarage	vicar	church	tea	parson	minister
vice	sex	chancellor	president	sin	crime
village	town	green	hamlet	small	home
villain	rogue	thief	bad	crime	devil
vines	grapes	wine	grape	wines	alcohol
violent	rough	angry	death	action	anger
visible	seen	see	invisible	eyes	light
vision	sight	tele	television	eye	dream
visit	see	relatives	hospital	come	friend
vital	statistics	necessary	important	life	lively
volume	book	control	loud	noise	capacity
wages	money	pay	salary	sin	packet
waist	slim	hips	belt	line	thin
wake	sleep	up	morning	funeral	ship
wales	england	mountains	scotland	country	hills
walker	runner	johnny	scott	boots	hiker
war	peace	death	game	battle	fighting
ward	hospital	ten	nurse	patient	court
ware	house	goods	sell	hard	crockery
warlike	warrior	aggressive	vicious	fierce	peaceful
warmer	colder	hot	bed	climate	fire
warmth	cold	fire	heat	bed	comfort
wars	peace	death	battles	roses	bloody
watchman	night	dog	guard	fire	brazier
waters	deep	river	wet	bath	mineral
wavy	hair	line	sea	curly	lines
we	us	they	are	you	them
wealthy	rich	money	poor	ease	fat
weapon	gun	sword	knife	war	kill
weeds	garden	flowers	grass	killer	dandelion
weekend	holiday	rest	dirty	fun	away
weigh	heavy	scales	balance	in	machine
weight	heavy	height	lifting	light	scales
weights	measures	heavy	scales	measure	cigarettes
weird	strange	odd	wonderful	queer	hair
weld	join	metal	steel	iron	together
welter	weight	skelter	swelter	helter	hot
wept	cried	tears	cry	sad	jesus
wetter	rain	drier	water	bed	damp
whales	sea	blubber	fish	mammals	sperm
what	why	question	now	where	which
whatever	happens	whenever	anything	else	wherever
wheedle	needle	whine	persuade	cajole	twist
wheels	car	fire	round	turn	cars
which	one	what	magazine	why	that
whimper	cry	dog	whine	snarl	animal
whine	dog	cry	whimper	moan	noise
whiplash	crack	pain	cowboy	horse	television
whistle	stop	train	tune	blow	penny
width	breadth	length	wide	height	depth
wife	husband	mother	woman	man	hell
wilderness	desert	wild	jesus	empty	bare
will	not	testament	power	you	death
william	tell	conqueror	just	mary	bill
willing	able	yes	ready	eager	unwilling
willows	wind	trees	weeping	tree	water
wimple	street	dimple	nun	hat	simple
windows	glass	doors	open	panes	clean
winter	summer	snow	cold	sports	tale
wish	want	hope	well	desire	bone
with	without	out	together	her	me
women	men	sex	girls	man	love
woo	love	court	seduce	wed	marriage
wood	tree	trees	fire	forest	oak
wool	sheep	cotton	sack	knitting	sweater
woolly	jumper	sheep	bear	warm	vest
word	association	sentence	book	game	dictionary
words	letters	meaning	sentences	book	speech
worker	factory	hard	bee	social	man
working	hard	class	man	life	tired
works	factory	hard	gas	art	well
worry	exams	fear	anxiety	trouble	care
woven	cloth	fabric	wool	knitted	material
wriggle	squirm	worm	tickle	writhe	struggle
wriggling	worm	squirming	eel	snake	squirm
wrist	watch	hand	arm	ankle	bone
yachts	boats	sailing	sails	sea	water
yearn	long	want	desire	longing	love
years	age	months	time	days	old
yesterday	today	tomorrow	beatles	gone	monday
yet	now	not	still	again	but
yogurt	milk	food	fruit	sour	cream
yolk	egg	ox	oxen	sac	yellow
york	minister	cathedral	city	town	new
youth	age	young	boy	club	old
zebra	crossing	stripes	animal	africa	horse
zoo	animals	animal	keeper	bars	garden
capable	able	incapable	brown	clever	good
ability	able	knowledge	skill	clever	can
approximately	about	near	nearly	almost	roughly
heavens	above	earth	clouds	god	skies
transcends	above	meditation	crosses	passes	rises
misuse	abuse	wrong	bad	destroy	use
guts	ache	courage	blood	stomach	intestine
tooth	ache	nail	dentist	pick	paste
pains	aches	hurt	agony	stomach	period
reflex	action	arc	knee	reaction	jerk
drug	addict	pot	store	hash	medicine
missionary	africa	bible	priest	abroad	doctor
anew	again	fresh	afresh	old	morning
antagonistic	against	angry	bad	fight	hostile
era	age	time	epoch	period	years
helper	aid	assistant	kind	mother	good
visual	aid	eyes	aids	see	eye
helped	aided	aid	hindered	old	assisted
intention	aim	good	idea	meaning	want
stratosphere	air	atmosphere	space	sky	clouds
oxygen	air	gas	hydrogen	life	nitrogen
atmosphere	air	smoke	pressure	sky	space
smart	alec	clever	hurt	neat	quick
everybody	all	nobody	knows	crowd	me
let	allow	go	house	out	flat
nearly	almost	there	all	finished	always
solitary	alone	confinement	lonely	man	only
solitude	alone	lonely	loneliness	quiet	peace
letters	alphabet	french	post	stamps	words
continual	always	everlasting	continuous	endless	noise
vector	analysis	maths	diagram	quantity	space
annoying	anger	angry	irritating	noise	aggravating
displeasure	anger	bad	disgust	annoyance	frown
wrath	anger	grapes	hate	god	rage
cross	angry	christ	roads	road	over
fierce	angry	ferocious	strong	lion	tiger
furious	angry	mad	rage	anger	temper
furry	animal	cat	rabbit	bear	coat
dangerous	animal	driver	fun	ice	red
bear	animal	hug	brown	carry	children
creature	animal	thing	dog	god	man
farms	animals	cows	fields	animal	country
traps	animals	mice	mouse	catches	fur
displease	annoy	anger	unhappy	angry	dislike
niggle	annoy	nag	argue	giggle	wriggle
questions	answers	ask	paper	any	asked
insects	ants	flies	fly	bees	bite
worried	anxious	tired	frown	look	nervous
whatsoever	anything	whosoever	whatever	nothing	happens
separate	apart	together	part	alone	beds
gorilla	ape	monkey	hair	man	primate
acts	apostles	play	plays	scenes	bible
pie	apple	crust	meat	pork	steak
rotten	apple	egg	bad	apples	core
fruit	apple	juice	orange	salad	machine
fruity	apple	juicy	cake	sweet	orange
toffee	apple	sticky	sweet	crisp	nut
pear	apple	tree	fruit	shape	shaped
pears	apples	fruit	soap	apple	cream
march	april	walk	may	hare	month
district	area	region	nurse	urban	bank
dispute	argue	argument	strike	disagree	fight
sleeve	arm	coat	record	shirt	dress
sling	arm	david	shot	stone	throw
elbow	arm	knee	grease	room	joint
muscle	arm	strong	strength	tendon	bone
craft	art	boat	cheese	skill	ship
painting	art	oil	brush	picture	artist
beg	ask	borrow	steal	dog	plead
led	astray	lead	on	away	by
particle	atom	bit	small	dust	piece
magnetism	attraction	electricity	attract	iron	physics
emigrate	australia	leave	go	abroad	canada
asleep	awake	bed	tired	dream	quiet
carried	away	lifted	bag	borne	off
further	away	more	than	education	nearer
sent	away	post	letter	posted	home
nappies	babies	baby	rash	wet	washing
cot	baby	bed	child	carry	cradle
helplessness	baby	child	lost	hopeless	pathetic
gurgle	baby	gargle	throat	splutter	plug
nappy	baby	rash	pin	babies	child
groovy	baby	record	music	man	modern
cry	baby	weep	out	tears	laugh
spine	back	bone	cord	less	backbone
eggs	bacon	basket	chips	hen	boiled
habits	bad	clothes	customs	dirty	monk
good	bad	evil	fine	true	boy
lousy	bad	rotten	useless	awful	dirty
swag	bag	loot	australia	boast	booty
polythene	bag	plastic	bags	polymer	ethylene
rugger	ball	football	game	mud	player
basket	ball	wicker	eggs	bread	fruit
vault	bank	safe	jump	crypt	wine
saloon	bar	car	cowboys	hairdresser	room
illegitimacy	bastard	baby	child	birth	children
illegitimate	bastard	child	baby	son	children
ball	bat	game	bounce	foot	football
sandy	beach	shore	brown	cove	hair
pebble	beach	stone	sand	shore	dash
baked	beans	bread	cake	apple	oven
goat	beard	milk	sheep	billy	herd
rhythm	beat	music	blues	method	tune
pulse	beat	rate	heart	throb	blood
conquered	beaten	william	won	defeated	beat
therefore	because	so	thus	hence	i
divan	bed	couch	settee	sofa	chair
sleep	bed	dream	awake	night	rest
sheets	bed	paper	blankets	white	pillows
mattress	bed	sleep	fat	sex	hard
bedroom	bed	sleep	sex	chair	scene
pillows	bed	sleep	soft	feathers	fight
blanket	bed	warm	sheet	electric	cover
springs	bed	water	jumps	beds	alice
hive	bee	bees	honey	activity	death
busy	bee	body	work	lazy	occupied
corned	beef	field	feet	foot	cob
ales	beer	beers	drink	pale	all
brewing	beer	tea	storm	ale	bear
bottle	beer	top	drink	green	neck
drinking	beer	water	eating	booze	glass
casks	beer	wine	barrels	rum	ale
birds	bees	feathers	feather	trees	women
after	before	noon	later	thought	shave
ante	before	room	against	natal	apartheid
origin	beginning	species	start	birth	insertion
lag	behind	old	slow	pipe	time
human	being	animal	man	ape	inhuman
disbelief	belief	doubt	faith	lie	god
gong	bell	bang	dinner	hammer	noise
rang	bell	telephone	phone	up	doorbell
wedding	bells	cake	white	marriage	ring
curve	bend	line	graph	arc	road
deviant	bent	devious	group	pervert	sexual
worst	best	bad	better	terrible	awful
wishes	best	hopes	desires	wants	birthday
inter	between	national	city	outer	action
amongst	between	with	in	friends	amid
huge	big	large	enormous	great	vast
moped	bike	scooter	bicycle	sad	cheap
scooters	bikes	mods	bike	motor	wheels
buffalo	bill	animal	bison	herd	cow
litter	bin	rubbish	bug	lout	paper
bias	binding	prejudice	bowl	lean	against
cage	bird	animal	lion	bars	door
swoop	bird	birds	eagle	down	dive
crow	bird	black	cock	carrion	flies
prey	bird	eagle	animal	beast	hawk
rare	bird	scarce	steak	few	unusual
gull	bird	sea	herring	wing	fool
seagull	bird	sea	white	fly	cry
doves	birds	peace	white	pigeons	coo
midlands	birmingham	england	north	black	leicester
shortbread	biscuit	cake	sweet	food	eat
cookies	biscuits	cakes	food	america	crumble
flea	bite	ear	itch	pit	bug
board	black	lodging	plank	room	director
white	black	red	snow	sheet	ice
nigger	black	wog	brown	negro	boy
easel	blackboard	board	chalk	artist	paint
covering	blanket	sheet	snow	bed	cloth
damn	blast	hell	curse	nation	fool
transfusion	blood	accident	bloody	bloom	car
bleed	blood	death	cut	wound	red
wind	blow	rain	sail	breeze	up
shame	blush	guilt	pity	red	anger
chairman	board	mao	committee	boss	meeting
chalk	board	white	cheese	dust	blackboard
dingy	boat	dark	sailing	drab	dull
canoe	boat	paddle	water	river	indian
oars	boat	row	boats	beat	man
yacht	boat	sail	sea	sails	race
afloat	boat	ship	sea	raft	sink
bowels	body	earth	shit	stomach	gut
toilet	bog	loo	paper	lavatory	seat
loo	bog	toilet	paper	water	chain
lavatories	bogs	bog	loos	toilets	loo
atom	bomb	molecule	small	ant	particle
atomic	bomb	power	energy	war	warfare
napalm	bomb	vietnam	fire	gas	india
premium	bond	tea	money	first	bonds
skeleton	bones	bone	cupboard	skull	body
ribs	bones	cage	spare	body	chest
shelf	book	books	cupboard	wood	bracket
contents	book	box	inside	index	container
binder	book	folder	books	harvest	glue
cookery	book	food	class	kitchen	baking
token	book	gift	gesture	money	voucher
read	book	write	books	this	learn
reading	book	writing	books	room	berkshire
novels	books	read	book	plays	paperbacks
bred	born	butter	well	horse	ill
top	bottom	hat	spin	cat	knot
base	bottom	low	triangle	acid	ball
pinching	bottom	nipping	stealing	tight	steal
tightly	bound	loosely	held	hold	bind
bout	boxing	fight	round	flu	ring
girlfriend	boyfriend	sex	love	boy	yes
mind	brain	matter	body	think	head
screech	brakes	owl	scream	yell	brake
crumbs	bread	birds	cake	table	biscuits
dough	bread	money	nut	pastry	flour
stale	bread	old	fresh	dry	cheese
butter	bread	yellow	margarine	cheese	milk
tit	breast	blue	bird	tat	nipple
gasp	breath	gulp	pant	cry	grunt
wall	brick	stone	paper	game	blank
builder	bricks	house	brick	bricklayer	contractor
contract	bridge	expand	sign	deal	law
span	bridge	life	hand	wing	width
smashed	broken	potato	glass	up	broke
mended	broken	repaired	fixed	broke	sorted
sister	brother	mother	nun	nurse	girl
sisters	brothers	three	none	one	two
taste	buds	bud	smell	tongue	honey
parasites	bugs	fleas	insects	worms	flies
construct	build	building	make	bridge	built
architect	building	house	design	designer	builder
erection	building	penis	sex	hard	stiff
jolt	bump	horse	jar	jog	shock
cakes	buns	eat	tea	ale	icing
omnibus	bus	car	transport	red	book
fare	bus	food	buses	fine	money
coaches	buses	horses	bus	mascot	train
executive	business	boss	suite	manager	officer
occupied	busy	house	vacant	engaged	empty
except	but	me	without	for	nothing
caterpillars	butterflies	hairy	legs	insects	moths
papilla	butterfly	hair	plant	nothing	what
chrysalis	butterfly	moth	caterpillar	cocoon	insect
seller	buyer	best	vendor	book	salesman
budgie	cage	bird	canary	pet	seed
icing	cake	sugar	skating	cakes	birthday
layer	cake	thick	rock	strata	brick
biscuit	cake	tin	cheese	tea	eat
buns	cakes	food	tea	currant	currants
coolness	calm	ice	cold	water	heat
placid	calm	quiet	gentle	peace	peaceful
serene	calm	quiet	peaceful	beautiful	beauty
appeared	came	disappeared	saw	ghost	seen
alimentary	canal	food	ill	illness	tract
knee	cap	joint	bend	elbow	leg
crash	car	bang	accident	barrier	smash
motor	car	bike	boat	engine	cycle
flashy	car	bright	smooth	tie	cheap
choke	car	cough	throttle	strangle	throat
mileage	car	distance	petrol	gallon	ingredient
van	car	driver	guard	lorry	truck
speed	car	fast	cars	light	quick
jeep	car	landrover	army	american	desert
parking	car	meter	cars	space	fine
petrol	car	pump	bomb	tank	can
wheel	car	round	cart	spoke	bicycle
used	car	worn	old	up	finished
calcium	carbonate	teeth	bones	chloride	chalk
canasta	cards	chan	game	bridge	card
cheat	cards	lie	dishonest	game	liar
vegetables	carrots	food	green	fruit	potatoes
motors	cars	car	general	engines	engine
nut	case	bolt	cracker	pea	shell
kittens	cat	cats	fur	fluffy	mittens
mat	cat	door	carpet	feet	rug
pussy	cat	galore	foot	willow	kitten
claws	cat	nails	crab	scratch	tiger
coventry	cathedral	city	climax	cars	sent
canterbury	cathedral	tales	kent	archbishop	bells
deserving	cause	good	reward	needy	worthy
careful	cautious	careless	driver	slow	steady
dime	cent	money	america	nickel	dollar
per	cent	through	annum	se	hour
definite	certain	sure	indefinite	positive	article
pendant	chain	hanging	necklace	watch	flag
link	chain	join	cuff	golf	metal
uncomfortable	chair	bed	comfortable	hard	pain
rocking	chair	horse	rolling	cradle	baby
stool	chair	pigeon	seat	table	faeces
furniture	chair	wood	polish	bed	table
tables	chairs	turned	log	arithmetic	legs
reform	change	school	law	better	charge
adjustment	change	social	television	alteration	mental
sale	cheap	bargain	shop	jumble	clothes
unfairness	cheat	injustice	wrong	exams	mean
fraud	cheat	squad	deceit	money	crime
liar	cheat	thief	truth	billy	fool
macaroni	cheese	italy	radio	spaghetti	wireless
reagents	chemistry	chemicals	chemical	king	reaction
gum	chewing	chew	tree	teeth	fruit
problem	child	answer	worry	difficult	solved
kid	child	goat	gloves	brother	glove
toy	child	play	balloon	doll	soldier
adults	children	parents	people	mature	old
fry	chips	chocolate	cook	fish	small
option	choice	none	alternative	chose	extra
choral	choir	society	song	bach	sing
hack	chop	cut	horse	saw	cough
lamb	chop	sheep	meat	wool	chops
manger	christ	crib	jesus	away	stable
resurrection	christ	life	jesus	death	cross
kirk	church	douglas	scotland	dagger	scots
altar	church	marriage	cross	wedding	cloth
catholic	church	protestant	roman	priest	taste
bells	church	ring	ringing	peal	toll
smoking	cigarette	cancer	cigarettes	habit	no
menthol	cigarette	cigarettes	fresh	cold	eucalyptus
capital	city	london	money	punishment	cardiff
form	class	shape	bench	school	fill
cleanse	clean	wash	soap	ajax	dirty
vacuum	cleaner	flask	empty	space	air
knowledgeable	clever	brainy	wise	bright	person
genius	clever	me	brilliant	brain	einstein
clamber	climb	up	rocks	over	scramble
piton	climbing	climb	mountain	piston	rock
time	clock	now	watch	hour	space
shut	close	open	door	closed	up
sack	cloth	bag	potatoes	coal	hessian
textile	cloth	industry	cotton	mill	wool
fabric	cloth	material	cotton	dress	linen
garment	clothes	cloth	coat	wear	clothing
robes	clothes	dress	gown	dresses	pierre
fashion	clothes	dress	model	show	mode
togs	clothes	shoes	cloths	swim	boutique
careless	clumsy	stupid	untidy	hands	foolish
tours	coach	bus	france	holiday	buses
coke	coal	drink	cola	fire	bottle
mines	coal	yours	gold	shaft	copper
hat	coat	head	stand	band	bowler
sheepskin	coat	rug	jacket	warm	bag
hats	coats	off	head	heads	caps
corn	cob	field	wheat	flakes	exchange
shaker	cocktail	salt	drink	dice	bone
tea	coffee	cup	time	drink	pot
leonard	cohen	lion	bernstein	whiting	boy
gather	collect	together	flowers	round	in
leper	colony	disease	bible	skin	bell
brush	comb	hair	paint	tooth	basil
arrive	come	depart	at	late	leave
tragedy	comedy	sad	death	hamlet	shakespeare
goes	comes	away	gone	moves	car
solace	comfort	peace	quiet	sun	alone
element	compound	fire	chemistry	atom	kettle
understand	comprehend	know	think	misunderstand	no
satisfied	content	happy	full	food	sex
continuum	continuous	end	endless	line	space
oral	contraceptive	mouth	exam	talk	test
expansion	contraction	growth	heat	large	elastic
public	convenience	private	lavatory	bar	school
persuade	convince	argue	force	change	dissuade
chef	cook	food	sauce	hat	cuisine
manage	cope	able	handle	manager	shop
accurate	correct	precise	exact	right	good
spool	cotton	film	thread	camera	reel
would	could	you	not	should	be
town	country	city	village	house	london
patriotism	country	flag	britain	england	queen
free	country	love	speech	freedom	liberty
neutral	country	nothing	gear	gender	live
accusation	court	crime	finger	accuse	charge
magistrates	court	law	judge	judges	courts
sues	court	law	lawyer	libel	money
milk	cow	drink	shake	bottle	water
jersey	cow	wool	island	sweater	jumper
bullocks	cows	bollocks	bulls	fields	animals
herds	cows	cattle	sheep	animals	animal
bulls	cows	eye	horns	eyes	balls
skill	craft	art	ability	full	trade
lotion	cream	calamine	hand	hair	ointment
ice	cream	cold	water	cool	cube
punishment	crime	cane	bad	pain	prison
level	crossing	flat	spirit	even	high
crispy	crunchy	crisps	noodles	crunch	bacon
outburst	cry	anger	shout	laughter	explosion
remedy	cure	medicine	answer	doctor	illness
drape	curtain	hang	cover	cloth	curtains
declare	customs	say	war	state	sign
sever	cut	break	head	blood	arm
scissor	cut	knife	hair	paper	blade
buttercups	daisies	yellow	daisy	flowers	field
movement	dance	motion	action	music	speed
unsafe	dangerous	safe	danger	sure	bridge
shady	dark	tree	trees	character	cool
evolution	darwin	man	life	revolution	apes
judgment	day	judge	court	law	justice
sunny	day	warm	afternoon	side	bright
weeks	days	months	years	time	term
corpse	dead	body	death	coffin	grave
died	dead	coffin	born	death	buried
alive	dead	well	living	man	quick
dumb	deaf	bell	stupid	blind	blond
tone	deaf	sound	voice	note	music
cheap	dear	expensive	nasty	money	shoddy
hearse	death	coffin	funeral	black	dead
graveyard	death	dead	church	bones	graves
hanging	death	dead	rope	noose	gallows
warfare	death	guns	fight	vietnam	germ
coroner	death	judge	dead	inquest	jury
cancer	death	lung	crab	disease	research
tragic	death	sad	accident	comic	bad
grave	death	stone	dead	digger	yard
increase	decrease	multiply	grow	more	add
fathoms	deep	sea	depth	depths	feet
profound	deep	statement	thought	thoughts	well
drills	dentist	bits	noise	army	teeth
repudiate	deny	reject	refuse	agree	blank
sounding	depth	noise	bell	echo	loud
clue	detective	crossword	hint	sherlock	crime
fiendish	devil	evil	plot	bad	clever
foggy	dew	day	misty	mist	london
lives	dies	deaths	death	people	great
ease	difficulty	leisure	comfort	easy	rest
lodgings	digs	house	flat	home	landlady
landlady	digs	money	fat	flat	house
nickel	dime	silver	metal	plate	plated
dust	dirt	ashes	bin	pan	bowl
